names,labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Train\cocci\cocci.0.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.0.jpg
Train\cocci\cocci.1.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1.jpg
Train\cocci\cocci.10.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.10.jpg
Train\cocci\cocci.100.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.100.jpg
Train\cocci\cocci.1000.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1000.jpg
Train\cocci\cocci.1001.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1001.jpg
Train\cocci\cocci.1002.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1002.jpg
Train\cocci\cocci.1003.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1003.jpg
Train\cocci\cocci.1004.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1004.jpg
Train\cocci\cocci.1005.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1005.jpg
Train\cocci\cocci.1006.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1006.jpg
Train\cocci\cocci.1007.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1007.jpg
Train\cocci\cocci.1008.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1008.jpg
Train\cocci\cocci.1009.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1009.jpg
Train\cocci\cocci.101.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.101.jpg
Train\cocci\cocci.1010.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1010.jpg
Train\cocci\cocci.1011.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1011.jpg
Train\cocci\cocci.1012.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1012.jpg
Train\cocci\cocci.1013.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1013.jpg
Train\cocci\cocci.1014.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1014.jpg
Train\cocci\cocci.1015.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1015.jpg
